# 普通高等学校本科专业目录（种子数据 · 子集）
# 依据：《普通高等学校本科专业目录（2020年版）》及后续备案审批结果
# ⚠️ status: seed-subset —— 仅收录约 150 个高频专业（全目录 770+），
#    用于 P0 匹配引擎开发与测试；完整目录由 import 脚本从教育部发布文件导入。
# 代码后缀含义: K=国家控制布点专业, T=特设专业
code,name,class_code,class_name,discipline_code,discipline_name
050105,古典文献学,0501,中国语言文学类,05,文学
050201,英语,0502,外国语言文学类,05,文学
050202,俄语,0502,外国语言文学类,05,文学
050203,德语,0502,外国语言文学类,05,文学
050204,法语,0502,外国语言文学类,05,文学
050205,西班牙语,0502,外国语言文学类,05,文学
050206,阿拉伯语,0502,外国语言文学类,05,文学
050207,日语,0502,外国语言文学类,05,文学
050303,广告学,0503,新闻传播学类,05,文学
050306T,网络与新媒体,0503,新闻传播学类,05,文学
060101,历史学,0601,历史学类,06,历史学
070101,数学与应用数学,0701,数学类,07,理学
070102,信息与计算科学,0701,数学类,07,理学
070103T,数理基础科学,0701,数学类,07,理学
070104T,数据计算及应用,0701,数学类,07,理学
070201,物理学,0702,物理学类,07,理学
070301,化学,0703,化学类,07,理学
071001,生物科学,0710,生物科学类,07,理学
071002,生物技术,0710,生物科学类,07,理学
071101,心理学,0711,心理学类,07,理学
071102,应用心理学,0711,心理学类,07,理学
071201,统计学,0712,统计学类,07,理学
071202,应用统计学,0712,统计学类,07,理学
080201,机械工程,0802,机械类,08,工学
080202,机械设计制造及其自动化,0802,机械类,08,工学
080203,材料成型及控制工程,0802,机械类,08,工学
080204,机械电子工程,0802,机械类,08,工学
080205,工业设计,0802,机械类,08,工学
080206,过程装备与控制工程,0802,机械类,08,工学
080207,车辆工程,0802,机械类,08,工学
080208,汽车服务工程,0802,机械类,08,工学
080301,测控技术与仪器,0803,仪器类,08,工学
080401,材料科学与工程,0804,材料类,08,工学
080601,电气工程及其自动化,0806,电气类,08,工学
080701,电子信息工程,0807,电子信息类,08,工学
080702,电子科学与技术,0807,电子信息类,08,工学
080703,通信工程,0807,电子信息类,08,工学
080704,微电子科学与工程,0807,电子信息类,08,工学
080705,光电信息科学与工程,0807,电子信息类,08,工学
080706,信息工程,0807,电子信息类,08,工学
080710T,集成电路设计与集成系统,0807,电子信息类,08,工学
080714T,电子信息科学与技术,0807,电子信息类,08,工学
080717T,人工智能,0807,电子信息类,08,工学
080801,自动化,0808,自动化类,08,工学
080802T,轨道交通信号与控制,0808,自动化类,08,工学
080803T,机器人工程,0808,自动化类,08,工学
080901,计算机科学与技术,0809,计算机类,08,工学
080902,软件工程,0809,计算机类,08,工学
080903,网络工程,0809,计算机类,08,工学
080904K,信息安全,0809,计算机类,08,工学
080905,物联网工程,0809,计算机类,08,工学
080906,数字媒体技术,0809,计算机类,08,工学
080907T,智能科学与技术,0809,计算机类,08,工学
080910T,数据科学与大数据技术,0809,计算机类,08,工学
080911TK,网络空间安全,0809,计算机类,08,工学
081001,土木工程,0810,土木类,08,工学
081002,建筑环境与能源应用工程,0810,土木类,08,工学
081003,给排水科学与工程,0810,土木类,08,工学
081004,建筑电气与智能化,0810,土木类,08,工学
081006T,道路桥梁与渡河工程,0810,土木类,08,工学
081101,水利水电工程,0811,水利类,08,工学
081201,测绘工程,0812,测绘类,08,工学
081301,化学工程与工艺,0813,化工与制药类,08,工学
081401,地质工程,0814,地质类,08,工学
081501,采矿工程,0815,矿业类,08,工学
081601,纺织工程,0816,纺织类,08,工学
081801,交通运输,0818,交通运输类,08,工学
081802,交通工程,0818,交通运输类,08,工学
081806T,交通设备与控制工程,0818,交通运输类,08,工学
081901,船舶与海洋工程,0819,海洋工程类,08,工学
082001,航空航天工程,0820,航空航天类,08,工学
082002,飞行器设计与工程,0820,航空航天类,08,工学
082801,建筑学,0828,建筑类,08,工学
082802,城乡规划,0828,建筑类,08,工学
082803,风景园林,0828,建筑类,08,工学
083001,生物工程,0830,生物工程类,08,工学
083102T,消防指挥,0831,公安技术类,08,工学
090101,农学,0901,植物生产类,09,农学
090102,园艺,0901,植物生产类,09,农学
090401,动物医学,0904,动物生产类,09,农学
090501,林学,0905,林学类,09,农学
090601,水产养殖学,0906,水产类,09,农学
100201K,临床医学,1002,临床医学类,10,医学
100301K,口腔医学,1003,口腔医学类,10,医学
100401K,预防医学,1004,公共卫生与预防医学类,10,医学
100501K,中医学,1005,中医学类,10,医学
100701,药学,1007,药学类,10,医学
100801,中药学,1008,中药学类,10,医学
101001,医学检验技术,1010,医学技术类,10,医学
101101,护理学,1011,护理学类,10,医学
120102,信息管理与信息系统,1201,管理科学与工程类,12,管理学
120103,工程管理,1201,管理科学与工程类,12,管理学
120105,工程造价,1201,管理科学与工程类,12,管理学
120108T,大数据管理与应用,1201,管理科学与工程类,12,管理学
120201K,工商管理,1202,工商管理类,12,管理学
120202,市场营销,1202,工商管理类,12,管理学
120203K,会计学,1202,工商管理类,12,管理学
120204,财务管理,1202,工商管理类,12,管理学
120205,国际商务,1202,工商管理类,12,管理学
120206,人力资源管理,1202,工商管理类,12,管理学
120207,审计学,1202,工商管理类,12,管理学
120208,资产评估,1202,工商管理类,12,管理学
120209,物业管理,1202,工商管理类,12,管理学
120210,文化产业管理,1202,工商管理类,12,管理学
120301,农林经济管理,1203,农业经济管理类,12,管理学
120401,公共事业管理,1204,公共管理类,12,管理学
120402,行政管理,1204,公共管理类,12,管理学
120403,劳动与社会保障,1204,公共管理类,12,管理学
120404T,城市管理,1204,公共管理类,12,管理学
120501,图书馆学,1205,图书情报与档案管理类,12,管理学
120502,档案学,1205,图书情报与档案管理类,12,管理学
120601,物流管理,1206,物流管理与工程类,12,管理学
120701,工业工程,1207,工业工程类,12,管理学
130202,音乐学,1302,音乐与舞蹈学类,13,艺术学
130205,舞蹈学,1302,音乐与舞蹈学类,13,艺术学
130305,广播电视编导,1303,戏剧与影视学类,13,艺术学
130310,动画,1303,戏剧与影视学类,13,艺术学
130401,美术学,1304,美术学类,13,艺术学
130402,绘画,1304,美术学类,13,艺术学
130502,视觉传达设计,1305,设计学类,13,艺术学
130503,环境设计,1305,设计学类,13,艺术学
130504,产品设计,1305,设计学类,13,艺术学
